PC,ExplainedVariancePercent
1,30.563155845067087
2,18.39010345927631
3,10.493233375490275
4,9.32565173531678
5,5.752779543206209
6,3.523214200345764
7,2.427340753567865
8,2.2788007257684
9,1.8300481125403143
10,1.7769804772480313
11,1.6236691341388694
12,1.405213663397138
13,1.3547891627436819
14,1.1543211765547507
15,0.8654089070272017
16,0.8392717640890545
17,0.7323190102457892
18,0.6842826831037344
19,0.567038402413602
20,0.5111789316709306
21,0.45078618898824907
22,0.38752104123251335
23,0.3551304437066314
24,0.3263875580481644
25,0.3054354114577907
26,0.28121393272698814
27,0.2379965237000081
28,0.2081727518389713
29,0.18603127757643123
30,0.1619342726574843
31,0.15612414241529293
32,0.11899625210627508
33,0.10448888293678642
34,0.09091514153177749
35,0.08177656765081459
36,0.07661213828106721
37,0.060309749927740665
38,0.04822159764710392
39,0.04614763221963615
40,0.037521003244358225
41,0.030386244616714225
42,0.028511488031546395
43,0.02296325692665535
44,0.019064679966133858
45,0.01742507176959189
46,0.015261483322791175
47,0.011422875688336939
48,0.009903788699668804
49,0.007258807433095146
50,0.006724397586113431
51,0.004169845962905909
52,0.002806172426795065
53,0.0012808972638498326
54,0.001019366469807856
55,0.0006767799840634378
56,0.0004400095327130102
57,0.00015665524492661134
58,4.60596841141592e-06
59,9.458932549504264e-32
