,0
Calm_Direct_FinalMax,0.7201126004197353
Calm_Avert_FinalMax,0.7220062358425269
Angry_Direct_FinalMax,0.7684986559631192
Angry_Avert_FinalMax,0.7137409080265212
Fix_a_d_BG,0.05548436463634905
Fix_a_d_EY,0.11795224869704277
Fix_a_d_MO,0.8361031456453883
Fix_a_a_BG,0.03082432238009571
Fix_a_a_EY,0.15545014160678014
Fix_a_a_MO,0.7908621064628554
Fix_c_d_BG,0.08186386721489876
Fix_c_d_EY,0.44804978088382796
Fix_c_d_MO,0.8774416370194461
Fix_c_a_BG,0.024720834099873995
Fix_c_a_EY,0.42947384574426745
Fix_c_a_MO,0.9390380741914237
Dwell_a_d_BG,0.032573278631901244
Dwell_a_d_EY,0.023630389456459296
Dwell_a_d_MO,0.9890590479840417
Dwell_a_a_BG,0.022169815252800238
Dwell_a_a_EY,0.0890246367569779
Dwell_a_a_MO,0.6456434769487863
Dwell_c_d_BG,0.0796694329870588
Dwell_c_d_EY,0.3815844982852112
Dwell_c_d_MO,0.7699738414308572
Dwell_c_a_BG,0.02044096854057912
Dwell_c_a_EY,0.2549775753771237
Dwell_c_a_MO,0.8652540171206793
pctFirstFixa_aEY,0.2858567052170853
pctFirstFixa_aMO,0.28801776018394504
pctFirstFixa_aBG,0.2370956142484422
pctFirstFixc_aEY,0.37495295546617957
pctFirstFixc_aMO,0.9269221634252193
pctFirstFixc_aBG,0.0064075439713026094
pctFirstFixa_dEY,0.20302263611468108
pctFirstFixa_dMO,0.9652979324183512
pctFirstFixa_dBG,0.03806956798836432
pctFirstFixc_dEY,0.2601869245931477
pctFirstFixc_dMO,0.8015900564557772
pctFirstFixc_dBG,0.01016363924004993
meanRT-a_a,0.6717758528761618
meanRT-c_a,0.7684344242315645
meanRT-a_d,0.7686125966649991
meanRT-c_d,0.7940887063337714
msTotal.a_a,0.9124041093388309
msTotal.a_c,0.3593473851129601
msTotal.d_a,0.5452869104316851
msTotal.d_c,0.9465850838478133
pctOffscreen.a_a,0.13321542921145796
pctOffscreen.a_c,0.2367725977890533
pctOffscreen.d_a,0.3408475260266462
pctOffscreen.d_c,0.2604740301386439
pctOnBackground.a_a,0.994314406538394
pctOnBackground.a_c,0.8096791842562929
pctOnBackground.d_a,0.7821985810223466
pctOnBackground.d_c,0.8506203834326594
pctSamplesOffscreenL,0.6456860237208305
pctSamplesOffscreenR,0.3987528635306693
