Feature_1,p_fdr
Calm_Direct_FinalMax,0.7722681728894056
Calm_Avert_FinalMax,0.8145084651594132
Angry_Direct_FinalMax,0.7568034036102472
Angry_Avert_FinalMax,0.8495626889824766
Fix_a_d_BG,0.08621156098691775
Fix_a_d_EY,0.025151522372475588
Fix_a_d_MO,0.6318594865311803
Fix_a_a_BG,0.0799910081034941
Fix_a_a_EY,0.008328499332888996
Fix_a_a_MO,0.9023331840870873
Fix_c_d_BG,0.2113082507549062
Fix_c_d_EY,0.10345725918035242
Fix_c_d_MO,0.4458790453162919
Fix_c_a_BG,0.27866992860677575
Fix_c_a_EY,0.06455578390428099
Fix_c_a_MO,0.657513426381546
Dwell_a_d_BG,0.026000350279863253
Dwell_a_d_EY,0.015184685717521648
Dwell_a_d_MO,0.4228736200085942
Dwell_a_a_BG,0.040973823235093056
Dwell_a_a_EY,0.009517194015029226
Dwell_a_a_MO,0.6902709389691392
Dwell_c_d_BG,0.06361842524078928
Dwell_c_d_EY,0.15800249076662654
Dwell_c_d_MO,0.3502437945709424
Dwell_c_a_BG,0.19104151066200378
Dwell_c_a_EY,0.04139083335716135
Dwell_c_a_MO,0.4372533795644607
pctFirstFixa_aEY,0.008536717337681188
pctFirstFixa_aMO,0.18700114755212768
pctFirstFixa_aBG,0.11984781220730441
pctFirstFixc_aEY,0.42813197228070643
pctFirstFixc_aMO,0.522494473402897
pctFirstFixc_aBG,0.11177688177576975
pctFirstFixa_dEY,0.054206665253002974
pctFirstFixa_dMO,0.3596332028937172
pctFirstFixa_dBG,0.025190561910816294
pctFirstFixc_dEY,0.17921069389466773
pctFirstFixc_dMO,0.1567330989895827
pctFirstFixc_dBG,0.08370109376814196
meanRT-a_a,0.10345725918035242
meanRT-c_a,0.06424912298330555
meanRT-a_d,0.12229560013313699
meanRT-c_d,0.11415376490718614
msTotal.a_a,0.31720359329257775
msTotal.a_c,0.2837669598981363
msTotal.d_a,0.7632318846608231
msTotal.d_c,0.8168943824136302
pctOffscreen.a_a,0.9352977032539065
pctOffscreen.a_c,0.8495626889824766
pctOffscreen.d_a,0.5611754527475835
pctOffscreen.d_c,0.7761704199818408
pctOnBackground.a_a,0.2939016717607265
pctOnBackground.a_c,0.3724200638227132
pctOnBackground.d_a,0.5153722041891288
pctOnBackground.d_c,0.3591778723150883
pctSamplesOffscreenL,0.8853726849836611
pctSamplesOffscreenR,0.8584107916143494
ARI_6_P,0.0012675412291322402
SCARED_P,0.0
