alpha,log_alpha,R2_train,R2_loocv
0.0001,-4.0,0.18792222131576572,-0.168682275866193
0.00026366508987303583,-3.5789473684210527,0.18792222116974028,-0.16866490804683987
0.0006951927961775605,-3.1578947368421053,0.18792222015489174,-0.16861913380706062
0.0018329807108324356,-2.736842105263158,0.1879222131054025,-0.16849857249547595
0.004832930238571752,-2.3157894736842106,0.18792216420142954,-0.16818159050954185
0.012742749857031334,-1.8947368421052633,0.18792182611011263,-0.16735198898298975
0.03359818286283781,-1.473684210526316,0.1879195096803663,-0.16520643276230884
0.08858667904100823,-1.0526315789473686,0.18790400081080863,-0.15982170716351063
0.23357214690901212,-0.6315789473684212,0.18780592588314365,-0.1472368501591741
0.615848211066026,-0.21052631578947392,0.18726177669906813,-0.12185572351153007
1.623776739188721,0.21052631578947348,0.18494398829093134,-0.0815966439607616
4.281332398719396,0.6315789473684212,0.1785648035926498,-0.033527287920972704
11.288378916846883,1.0526315789473681,0.16816306200375053,0.011372208435425302
29.763514416313132,1.473684210526315,0.15672230874677787,0.045859544189505996
78.47599703514607,1.8947368421052628,0.14471970361008812,0.0670761297147433
206.913808111479,2.3157894736842106,0.1256637617845878,0.07025472357663753
545.5594781168514,2.7368421052631575,0.09134796370067043,0.04885509806515542
1438.44988828766,3.1578947368421044,0.05159542684725725,0.014853855739607624
3792.690190732246,3.578947368421052,0.0237738706757914,-0.010916395599054773
10000.0,4.0,0.009794526563831722,-0.024202423926768413
