Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI
Calm_Direct_FinalMax,-0.2729769915876223,0.06338591278892013,0.27097707747445315,False
Calm_Avert_FinalMax,-0.23833415419152515,0.10668320462860864,0.27263485627311096,False
Angry_Direct_FinalMax,-0.26164920090233923,0.07563944174984424,0.27263485627311096,False
Angry_Avert_FinalMax,-0.24218960636611053,0.10096789342915216,0.27263485627311096,False
Dwell_a_d_BG,0.33643606149023075,0.020764617859643543,0.1848685919361817,False
Dwell_a_d_EY,-0.2461237735914679,0.0953818488786273,0.27263485627311096,False
Dwell_a_d_MO,0.19676056283843843,0.18497210925175153,0.38675986479911684,False
Dwell_a_a_BG,0.36103629734540305,0.01265915621927422,0.1848685919361817,False
Dwell_a_a_EY,-0.23905275615819768,0.10559958706373931,0.27263485627311096,False
Dwell_a_a_MO,0.12600257032017845,0.39870283437793597,0.6324251855650018,False
Dwell_c_d_BG,0.332846173632207,0.02225158585347658,0.1848685919361817,False
Dwell_c_d_EY,-0.1621971729618439,0.27604033936143435,0.47029094854170295,False
Dwell_c_d_MO,0.16809613537453263,0.2587136565376407,0.47021212459227213,False
Dwell_c_a_BG,0.32740010120016194,0.024677569714345166,0.1848685919361817,False
Dwell_c_a_EY,-0.1656622830557387,0.265772070421719,0.47021212459227213,False
Dwell_c_a_MO,0.01626228276494268,0.9136041833864659,0.9681981197718371,False
pctFirstFixa_aEY,-0.27158627498049454,0.06479886635258662,0.27097707747445315,False
pctFirstFixa_aMO,0.09417823490314467,0.5289108565333285,0.657564848663057,False
pctFirstFixa_aBG,0.21973181705212624,0.13779659896427077,0.3336128185450766,False
pctFirstFixc_aEY,-0.10856458661615846,0.4675992569089509,0.657564848663057,False
pctFirstFixc_aMO,0.041068153768371585,0.7840206535790101,0.8796329284057186,False
pctFirstFixc_aBG,0.3034929674733102,0.03809696577536363,0.19471782507408078,False
pctFirstFixa_dEY,-0.25097164711439324,0.08883082625612614,0.27263485627311096,False
pctFirstFixa_dMO,0.1727149371824132,0.24566654025417875,0.47021212459227213,False
pctFirstFixa_dBG,0.3203712676001354,0.02813217703376678,0.1848685919361817,False
pctFirstFixc_dEY,-0.30568603421100893,0.03665792228918694,0.19471782507408078,False
pctFirstFixc_dMO,-0.009936093595843132,0.9471503345594059,0.9681981197718371,False
pctFirstFixc_dBG,0.32979096615566966,0.023586595771048928,0.1848685919361817,False
meanRT-a_a,0.1100699620509776,0.46141166004955136,0.657564848663057,False
meanRT-c_a,0.13091289902654962,0.3804271343820251,0.624987435056184,False
meanRT-a_d,0.16595900053791407,0.2649047708771751,0.47021212459227213,False
meanRT-c_d,0.10370258937971294,0.4878836879598704,0.657564848663057,False
msTotal.a_a,0.0772003392628327,0.6060094546755453,0.7335903925019759,False
msTotal.a_c,-0.3304158920959023,0.0233081973301801,0.1848685919361817,False
msTotal.d_a,0.11192305522416574,0.45385591736145237,0.657564848663057,False
msTotal.d_c,-0.2570415402176446,0.08112854791530368,0.27263485627311096,False
pctOffscreen.a_a,0.050904496876162636,0.734002046044921,0.8644813460582137,False
pctOffscreen.a_c,-0.04739742772568856,0.751722909615838,0.8644813460582137,False
pctOffscreen.d_a,-0.20109050832515793,0.175297659328194,0.38675986479911684,False
pctOffscreen.d_c,-0.19797288714804134,0.1822257534875672,0.38675986479911684,False
pctOnBackground.a_a,0.0975871747802429,0.5140341178871806,0.657564848663057,False
pctOnBackground.a_c,0.10185442333804064,0.495712834550931,0.657564848663057,False
pctOnBackground.d_a,0.00483175058965532,0.9742862380004627,0.9742862380004627,False
pctOnBackground.d_c,-0.03544873595489148,0.8130024179650582,0.8904312196760162,False
pctSamplesOffscreenL,0.09452825693080794,0.5273736545385423,0.657564848663057,False
pctSamplesOffscreenR,0.011920632292905436,0.936614351206059,0.9681981197718371,False
