Feature,r_ARI,p_ARI,p_ARI_fdr,significant_ARI,significant_without_fdr_ARI
Calm_Direct_FinalMax,-0.2729769915876222,0.06338591278892043,0.2073563723282766,False,True
Angry_Direct_FinalMax,-0.2616492009023391,0.0756394417498447,0.21336640925721714,False,True
Dwell_a_d_BG,0.33643606149023064,0.020764617859643612,0.15003827751342305,False,True
Dwell_a_d_EY,-0.24612377359146784,0.09538184887862736,0.21336640925721714,False,True
Dwell_a_a_BG,0.361036297345403,0.01265915621927429,0.15003827751342305,False,True
Dwell_c_d_BG,0.332846173632207,0.022251585853476592,0.15003827751342305,False,True
Dwell_c_a_BG,0.32740010120016183,0.024677569714345197,0.15003827751342305,False,True
pctFirstFixa_aEY,-0.2715862749804944,0.06479886635258644,0.2073563723282766,False,True
pctFirstFixc_aBG,0.3034929674733102,0.03809696577536364,0.15238786310145455,False,True
pctFirstFixa_dEY,-0.2509716471143933,0.08883082625612626,0.21336640925721714,False,True
pctFirstFixa_dBG,0.3203712676001354,0.028132177033766824,0.15003827751342305,False,True
pctFirstFixc_dEY,-0.305686034211009,0.03665792228918688,0.15238786310145455,False,True
pctFirstFixc_dBG,0.3297909661556698,0.023586595771048914,0.15003827751342305,False,True
