Feature,r_SCARED,p_SCARED,p_SCARED_fdr,significant_SCARED,significant_without_fdr_SCARED
Dwell_a_d_BG,0.3633505378431351,0.01206003554771752,0.06432018958782677,True,True
Dwell_a_d_EY,-0.3687230291296449,0.010762059140753993,0.06432018958782677,True,True
Dwell_a_a_BG,0.3654251660446809,0.011543749801145762,0.06432018958782677,True,True
Dwell_a_a_EY,-0.4061297277400229,0.004618363653957591,0.0492625456422143,True,True
Dwell_c_d_BG,0.33403918888546236,0.02174780720430731,0.08873976575450232,True,True
Dwell_c_d_EY,-0.2775555653254805,0.05890711374552543,0.13265240736322756,False,True
Dwell_c_d_MO,0.24750592610848338,0.09347716792545376,0.16283591288352414,False,True
Dwell_c_a_EY,-0.3195529504305469,0.028559337406859994,0.09138987970195198,True,True
pctFirstFixa_aEY,-0.4274519351203163,0.0027281330751168353,0.0492625456422143,True,True
pctFirstFixa_aMO,0.27455677299313513,0.06181082522302742,0.13265240736322756,False,True
pctFirstFixa_aBG,0.3080140553742502,0.03517958189092122,0.1023406018644981,False,True
pctFirstFixc_aBG,0.2665082827829975,0.07017247198695403,0.13265240736322756,False,True
pctFirstFixa_dEY,-0.32679973520452227,0.02495805911845378,0.08873976575450232,True,True
pctFirstFixa_dMO,0.26623481350924044,0.07047159141171463,0.13265240736322756,False,True
pctFirstFixa_dBG,0.4102737437543678,0.004180136098950056,0.0492625456422143,True,True
pctFirstFixc_dEY,-0.2703212130718845,0.0661058567299451,0.13265240736322756,False,True
pctFirstFixc_dMO,0.29424580824566643,0.04468411665405172,0.11915764441080458,False,True
pctFirstFixc_dBG,0.33120483735864614,0.02296067035748043,0.08873976575450232,True,True
meanRT-c_a,-0.24326188182316752,0.09942102235167034,0.16283591288352414,False,True
