Feature_1,Feature_2,r,p_uncorrected,p_fdr,significant
Dwell_a_d_BG,Dwell_a_d_EY,-0.56349817376728,3.722680102847116e-05,4.653350128558895e-05,True
Dwell_a_d_BG,Dwell_a_a_BG,0.9590086380223655,2.796991839339762e-26,4.195487759009642e-25,True
Dwell_a_d_BG,Dwell_a_a_EY,-0.5948862744437722,1.0347945570840022e-05,2.2174169080371477e-05,True
Dwell_a_d_BG,pctFirstFixa_aEY,-0.5160690370285511,0.00020483935511611404,0.00023635310205705467,True
Dwell_a_d_BG,pctFirstFixa_dBG,0.8862789519067331,1.203410346253047e-16,6.017051731265234e-16,True
Dwell_a_d_EY,Dwell_a_a_BG,-0.5651039003275932,3.4976418849362087e-05,4.653350128558895e-05,True
Dwell_a_d_EY,Dwell_a_a_EY,0.9388309708923825,1.8437771946060616e-22,1.3828328959545462e-21,True
Dwell_a_d_EY,pctFirstFixa_aEY,0.6710655524190219,2.442404676588104e-07,6.106011691470259e-07,True
Dwell_a_d_EY,pctFirstFixa_dBG,-0.5758507221060896,2.2848298291695044e-05,3.427244743754257e-05,True
Dwell_a_a_BG,Dwell_a_a_EY,-0.5769275516767027,2.1875857481256667e-05,3.427244743754257e-05,True
Dwell_a_a_BG,pctFirstFixa_aEY,-0.502690792880891,0.0003171019511692094,0.0003171019511692094,True
Dwell_a_a_BG,pctFirstFixa_dBG,0.8427482573779926,1.0962546137093007e-13,4.110954801409878e-13,True
Dwell_a_a_EY,pctFirstFixa_aEY,0.6843139492816301,1.1362771177141711e-07,3.4088313531425135e-07,True
Dwell_a_a_EY,pctFirstFixa_dBG,-0.5870793186156551,1.4406733957398515e-05,2.7012626170122218e-05,True
pctFirstFixa_aEY,pctFirstFixa_dBG,-0.5096521632030165,0.0002531754233014248,0.0002712593821086694,True
