Feature,Mean,Std,Model
pctFirstFixc_aBG,17.57088914910226,14.715329265455036,ARI+SCARED
pctFirstFixc_dBG,16.26772443403591,14.054491746726894,ARI+SCARED
Dwell_a_d_EY,20.663019828259173,13.855701597967478,ARI+SCARED
Dwell_c_a_BG,5.088745511319282,5.7220240790229795,ARI
Dwell_a_a_BG,4.994360655737703,5.614606422961414,ARI+SCARED
Dwell_a_d_BG,7.251154098360657,8.722801426750731,ARI+SCARED
pctFirstFixa_dBG,16.439024199843875,13.411157376538325,ARI+SCARED
Dwell_a_a_EY,14.323102498048401,9.3524116783513,ARI+SCARED
pctFirstFixa_aEY,23.93957923497268,17.16490238883269,SCARED
Dwell_c_a_EY,14.905917408274785,9.961862498025612,SCARED
Dwell_c_d_BG,7.606714754098362,9.216164605460632,SCARED
pctFirstFixa_dEY,22.708023419203744,16.195885522689654,SCARED
meanRT-c_a,0.7128688524590165,0.22722011907764947,SCARED
